SCHEDULE.aid  AIRCRAFTS.aid  
2	2	
19	19	
46	46	
55	55	
56	56	
57	57	
58	58	
59	59	
68	68	
72	72	
74	74	
79	79	
90	90	
121	121	
122	122	
126	126	
131	131	
141	141	
144	144	
153	153	
157	157	
169	169	
170	170	
184	184	
186	186	
200	200	
209	209	
216	216	
238	238	
258	258	
275	275	
285	285	
289	289	
291	291	
305	305	
354	354	
358	358	
367	367	
411	411	
424	424	
425	425	
435	435	
451	451	
455	455	
460	460	
461	461	
467	467	
471	471	
487	487	
490	490	
491	491	
508	508	
532	532	
536	536	
539	539	
546	546	
554	554	
562	562	
585	585	
591	591	
598	598	
604	604	
626	626	
627	627	
639	639	
646	646	
649	649	
655	655	
657	657	
661	661	
681	681	
692	692	
721	721	
726	726	
728	728	
742	742	
763	763	
786	786	
789	789	
799	799	
837	837	
869	869	
870	870	
890	890	
918	918	
922	922	
928	928	
935	935	
946	946	
967	967	
979	979	
1003	1003	
1006	1006	
1016	1016	
1017	1017	
1020	1020	
1034	1034	
1036	1036	
1037	1037	
1042	1042	
1043	1043	
1067	1067	
1073	1073	
1084	1084	
1108	1108	
1142	1142	
1150	1150	
1158	1158	
1160	1160	
1161	1161	
1174	1174	
1177	1177	
1193	1193	
1194	1194	
1195	1195	
1201	1201	
1215	1215	
1226	1226	
1229	1229	
1258	1258	
1262	1262	
1266	1266	
1270	1270	
1279	1279	
1281	1281	
1289	1289	
1302	1302	
1304	1304	
1316	1316	
1318	1318	
1361	1361	
1387	1387	
1389	1389	
1395	1395	
1402	1402	
1421	1421	
1423	1423	
1428	1428	
1452	1452	
1464	1464	
1483	1483	
1517	1517	
1518	1518	
1521	1521	
1536	1536	
1588	1588	
1589	1589	
1606	1606	
1630	1630	
1632	1632	
1640	1640	
1646	1646	
1649	1649	
1652	1652	
1661	1661	
1679	1679	
1681	1681	
1684	1684	
1686	1686	
1710	1710	
1718	1718	
1725	1725	
1739	1739	
1744	1744	
1753	1753	
1756	1756	
1757	1757	
1760	1760	
1765	1765	
1770	1770	
1784	1784	
1790	1790	
1795	1795	
1813	1813	
1822	1822	
1831	1831	
1840	1840	
1846	1846	
1863	1863	
1865	1865	
1874	1874	
1880	1880	
1893	1893	
1901	1901	
1902	1902	
1903	1903	
1917	1917	
1919	1919	
1940	1940	
1969	1969	
1997	1997	
2021	2021	
2028	2028	
2034	2034	
2043	2043	
2048	2048	
2053	2053	
2054	2054	
2058	2058	
2075	2075	
2096	2096	
2098	2098	
2100	2100	
2101	2101	
2102	2102	
2107	2107	
2114	2114	
2115	2115	
2116	2116	
2135	2135	
2157	2157	
2169	2169	
2198	2198	
2200	2200	
2201	2201	
2209	2209	
2223	2223	
2225	2225	
2254	2254	
2277	2277	
2312	2312	
2313	2313	
2318	2318	
2321	2321	
2337	2337	
2339	2339	
2342	2342	
2346	2346	
2357	2357	
2360	2360	
2366	2366	
2367	2367	
2404	2404	
2408	2408	
2413	2413	
2420	2420	
2430	2430	
2431	2431	
2434	2434	
2443	2443	
2463	2463	
2464	2464	
2466	2466	
2476	2476	
2485	2485	
2493	2493	
2506	2506	
2521	2521	
2523	2523	
2528	2528	
2539	2539	
2542	2542	
2547	2547	
2555	2555	
2557	2557	
2580	2580	
2585	2585	
2591	2591	
2594	2594	
2612	2612	
2614	2614	
2620	2620	
2621	2621	
2622	2622	
2625	2625	
2634	2634	
2652	2652	
2656	2656	
2659	2659	
2665	2665	
2685	2685	
2725	2725	
2728	2728	
2736	2736	
2757	2757	
2778	2778	
2792	2792	
2803	2803	
2814	2814	
2829	2829	
2845	2845	
2863	2863	
2881	2881	
2882	2882	
2885	2885	
2898	2898	
2906	2906	
2910	2910	
2913	2913	
2916	2916	
2918	2918	
2927	2927	
