SCHEDULE.flno  SCHEDULE.aid  AIRCRAFTS.aname  
26345	9476	269	
45093	18332	3	
36184	4983	250	
39805	4852	110	
3579	1641	377	
30757	6295	158	
37689	3944	129	
26308	2139	119	
18551	17205	245	
4863	511	473	
49564	14951	245	
47146	11719	240	
34016	6667	44	
41463	13194	124	
7469	14509	213	
44772	11776	273	
47537	13457	12	
36914	5378	69	
4143	13285	120	
18158	6282	490	
44098	16877	448	
2242	797	21	
6798	18916	307	
421	14866	489	
30910	3628	139	
21162	12428	385	
47657	15199	459	
44912	17961	323	
8479	14789	385	
29489	11611	136	
3071	8291	83	
39307	846	243	
28053	11094	414	
27626	15717	69	
35482	7995	384	
44521	5137	233	
526	4644	181	
9309	15278	360	
39269	5779	426	
27211	10663	423	
10619	9157	427	
17933	10545	323	
33228	1991	442	
21475	390	385	
14707	1990	52	
2665	17738	370	
16671	15776	151	
42524	17277	37	
41805	15300	380	
5938	17039	145	
22433	14717	217	
37453	2429	51	
11353	14425	72	
23346	12163	172	
27440	8086	166	
15356	14723	448	
45582	14815	110	
8795	3619	104	
32287	750	340	
37152	2855	404	
49996	2806	208	
38824	9956	16	
12657	7302	332	
5946	8546	132	
5233	18803	9	
16192	15491	15	
40584	2801	67	
25454	10520	281	
49891	11913	205	
9381	6795	41	
25639	18472	22	
42444	13481	39	
30683	15837	94	
44280	5667	250	
11292	3957	92	
27376	14075	354	
49222	9769	486	
7287	792	370	
12471	1063	182	
49459	19913	378	
17414	2505	142	
42111	8934	279	
1010	17380	178	
49358	9238	498	
13714	12044	84	
22234	18542	126	
38820	5033	394	
46427	6975	167	
35120	8476	48	
4823	19336	22	
37536	9553	433	
6713	4010	325	
2057	2612	234	
4967	15177	27	
9773	6350	10	
23171	15716	283	
10985	10110	424	
3626	3651	68	
32747	18329	100	
11333	16612	204	
27470	6187	383	
46660	9434	21	
38358	13464	281	
36415	19857	210	
24090	7605	400	
41252	7364	282	
25110	7464	451	
32471	1474	341	
9792	3317	431	
3735	8234	163	
34934	16941	162	
23860	4512	265	
28198	2071	275	
904	18585	201	
33121	264	347	
12757	515	474	
7204	11282	106	
44410	15513	484	
8406	202	437	
11557	16319	324	
43123	6069	167	
36339	13603	339	
30813	4127	435	
14713	9190	99	
3109	8437	267	
22147	8250	117	
29721	4441	246	
8107	11000	496	
22443	754	408	
48602	11400	281	
22124	9619	227	
8008	97	199	
39489	14358	326	
3995	4565	210	
22659	14296	208	
32479	6622	91	
6335	895	459	
22383	14784	262	
22958	18177	272	
16302	5630	40	
38753	2638	370	
48014	17913	423	
2782	17419	257	
29820	12349	308	
9489	10036	9	
46396	4294	225	
20895	15618	232	
21035	627	7	
38965	19118	45	
20357	13297	464	
5808	128	108	
16959	10020	168	
28119	16027	444	
23144	17906	113	
18534	14773	448	
49377	8739	80	
37470	18204	391	
17054	7651	364	
33751	17964	378	
44924	1319	416	
44262	7913	354	
8082	4200	347	
10106	16466	464	
33339	3770	28	
17051	17102	445	
20017	493	393	
14275	11087	315	
18206	7242	287	
745	6081	372	
20078	14640	128	
48513	2650	463	
24894	6979	241	
26128	11693	226	
27998	16487	329	
14867	14104	262	
25124	1996	301	
8687	7535	253	
18358	5183	83	
41720	18666	2	
26549	14843	207	
13407	1217	86	
2510	5429	211	
49724	15471	371	
7401	6552	427	
9604	1018	96	
4727	9104	208	
5507	15596	55	
36686	17262	303	
32031	475	216	
21515	2401	326	
5756	14746	337	
48727	635	450	
26991	2446	440	
16782	3437	32	
4422	10660	291	
6328	9197	412	
10833	11402	328	
37529	5991	443	
41078	10790	78	
10285	6855	468	
46908	12996	182	
2721	7697	279	
8296	4119	105	
20738	17628	168	
23969	4213	497	
7196	17137	127	
46836	9288	228	
16082	11266	470	
33515	17375	410	
18290	12606	207	
2950	13441	331	
42414	12208	353	
48204	16496	266	
44840	17488	245	
27579	5826	340	
30467	10566	59	
35875	7289	107	
30843	2871	23	
34593	10980	257	
19415	19407	295	
31266	19527	77	
15328	18068	260	
4110	7168	11	
28759	14614	418	
33998	807	386	
26909	9065	368	
40796	3571	429	
25926	1133	417	
13076	19833	495	
36940	14076	32	
3769	6553	45	
30693	17088	243	
28359	13613	168	
21575	5885	78	
30171	14220	349	
23593	9571	329	
18315	3866	240	
6	17664	106	
5692	8155	472	
12411	9854	469	
38894	1878	300	
35607	11548	116	
8142	2786	151	
45526	9335	279	
49396	18974	181	
42581	1127	56	
40036	3922	18	
22985	19491	435	
30035	2458	79	
12451	10327	453	
9748	10237	385	
31394	5747	237	
3044	13956	478	
17691	8834	72	
43982	18804	158	
27461	10792	481	
44880	5181	144	
1571	10632	345	
16002	7085	445	
2928	18813	480	
36579	18702	217	
25121	10390	212	
32342	76	189	
9858	3901	412	
8204	16460	98	
8172	6562	126	
42251	17445	362	
45486	10386	183	
775	12107	166	
36815	19186	452	
40419	5168	10	
37583	4765	228	
31449	10493	143	
38325	17997	314	
10799	16739	362	
26889	14093	472	
7791	16549	449	
24589	4912	444	
28972	4980	355	
3235	6568	491	
30508	13164	305	
29732	4486	339	
43819	15611	458	
36220	11807	61	
4157	6575	228	
22997	9662	170	
19810	2985	3	
5659	934	11	
19068	1273	264	
4589	7568	127	
46460	10150	303	
24872	8994	178	
1588	16637	181	
21727	6236	437	
16102	9859	299	
14563	7603	232	
23028	7027	56	
44241	13269	163	
39934	15202	291	
25824	18270	481	
29503	17374	216	
28627	850	446	
30790	13476	352	
25299	1997	448	
31068	15579	104	
15590	437	444	
38414	6692	401	
40624	3515	469	
48533	7540	347	
32136	14365	94	
7477	12759	81	
16701	8471	418	
31826	4116	142	
18250	9625	53	
26278	16876	49	
38626	14015	150	
27154	6309	58	
24130	9568	282	
21849	18422	6	
43453	19996	206	
42812	13585	464	
49410	3914	231	
49735	2369	232	
10085	19618	243	
16439	17151	370	
30676	19076	10	
6951	10357	265	
