CERTIFIED.eid  CERTIFIED.aid  SCHEDULE.flno  SCHEDULE.aid  
38819	1043	47926	1043	
13632	42883	33330	42883	
46498	28013	17373	28013	
11277	5316	31759	5316	
45373	7543	42372	7543	
30601	24220	14000	24220	
15794	20412	30136	20412	
719	7922	46901	7922	
43698	35034	44529	35034	
1749	13580	19130	13580	
21466	19955	15937	19955	
6293	45603	3731	45603	
22024	9046	20628	9046	
24056	21810	43266	21810	
39787	23723	23031	23723	
34946	41976	24667	41976	
20416	26829	46174	26829	
42175	36954	21819	36954	
29695	23365	34232	23365	
18706	12302	29973	12302	
45824	49169	45515	49169	
28475	25421	46482	25421	
36129	4051	38687	4051	
47700	24284	28516	24284	
3931	26928	47089	26928	
41148	42333	39700	42333	
35613	35566	26725	35566	
19354	4776	20291	4776	
33689	9030	8201	9030	
28531	35150	29303	35150	
47629	37045	48718	37045	
402	42099	15	42099	
31202	34689	2465	34689	
39825	22512	2189	22512	
18029	4015	8459	4015	
6578	11426	28675	11426	
47736	28029	22194	28029	
18616	45546	40887	45546	
42559	30775	14818	30775	
41015	35876	43903	35876	
46208	16243	41227	16243	
25266	14327	15053	14327	
33273	16103	16537	16103	
20814	45041	16504	45041	
10118	32286	8040	32286	
25512	31335	35020	31335	
15781	30793	27865	30793	
23098	11349	7965	11349	
36777	3228	34074	3228	
20302	37624	9598	37624	
44730	9121	48923	9121	
40620	37561	38113	37561	
3326	44943	18906	44943	
390	7843	29806	7843	
38592	27480	10220	27480	
2290	9978	15289	9978	
43919	11646	16598	11646	
5564	21918	11582	21918	
2950	17332	24546	17332	
41526	3086	36744	3086	
41843	42987	33565	42987	
5085	4437	12913	4437	
9735	25202	5498	25202	
35141	8202	29576	8202	
14748	21985	37039	21985	
24718	25228	42524	25228	
18873	46714	16309	46714	
29902	41806	40513	41806	
47180	44860	22256	44860	
19668	23550	34968	23550	
24167	10990	46408	10990	
5703	23239	18191	23239	
16539	28320	22954	28320	
13163	11143	47669	11143	
37067	21922	42545	21922	
4472	30141	29216	30141	
44107	1536	36731	1536	
23452	19259	18569	19259	
42380	20130	22444	20130	
21315	40615	16312	40615	
32449	19322	3953	19322	
23749	39862	20392	39862	
42374	41396	47590	41396	
29691	29251	38004	29251	
8361	12698	35451	12698	
44072	41102	23828	41102	
1227	42920	12040	42920	
30006	18545	29508	18545	
11960	19434	13721	19434	
30303	12742	23294	12742	
18995	41551	30002	41551	
5668	49779	21216	49779	
16093	32879	33854	32879	
28706	20321	29664	20321	
805	4589	5315	4589	
44257	9175	39214	9175	
31760	29159	41941	29159	
45779	41367	22567	41367	
47214	2882	32759	2882	
41999	10424	46617	10424	
4640	37483	23447	37483	
14377	49076	31659	49076	
7588	6957	16020	6957	
