CUSTOMER.cid  CUSTOMER.gender  CART.cartid  CUSTOMER.gender  
6	0	29	0	
68	0	8	0	
137	1	81	1	
63	0	170	0	
70	1	24	1	
6	0	148	0	
172	1	52	1	
35	1	13	1	
76	0	100	0	
137	1	50	1	
39	0	158	0	
66	1	133	1	
183	0	33	0	
15	1	7	1	
13	1	108	1	
27	1	140	1	
156	0	89	0	
144	0	161	0	
189	1	63	1	
35	1	75	1	
40	0	85	0	
85	0	127	0	
27	1	189	1	
82	1	155	1	
75	0	175	0	
184	0	102	0	
198	0	153	0	
6	0	136	0	
66	1	186	1	
177	1	2	1	
24	1	195	1	
155	1	32	1	
64	1	156	1	
85	0	122	0	
132	1	93	1	
39	0	144	0	
85	0	26	0	
65	0	171	0	
50	1	1	1	
60	1	37	1	
154	1	64	1	
47	1	181	1	
189	1	16	1	
5	0	172	0	
153	0	183	0	
170	0	94	0	
42	0	41	0	
14	0	56	0	
60	1	141	1	
189	1	95	1	
47	1	106	1	
28	1	150	1	
47	1	174	1	
154	1	27	1	
39	0	14	0	
89	0	187	0	
139	0	67	0	
92	0	87	0	
109	1	74	1	
132	1	99	1	
181	1	103	1	
127	0	166	0	
156	0	134	0	
51	0	121	0	
160	0	162	0	
122	0	131	0	
62	1	199	1	
80	1	88	1	
117	0	45	0	
196	1	35	1	
106	1	36	1	
185	1	44	1	
147	0	157	0	
176	0	179	0	
152	0	105	0	
101	1	69	1	
73	1	197	1	
197	0	70	0	
1	1	117	1	
55	1	78	1	
108	0	129	0	
74	1	77	1	
55	1	173	1	
134	1	116	1	
124	0	34	0	
185	1	145	1	
173	0	17	0	
147	0	152	0	
196	1	194	1	
180	1	96	1	
122	0	118	0	
173	0	191	0	
178	0	22	0	
173	0	40	0	
190	0	31	0	
115	1	167	1	
167	0	79	0	
62	1	73	1	
188	1	83	1	
173	0	113	0	
133	1	98	1	
0	1	57	1	
133	1	19	1	
54	0	42	0	
124	0	109	0	
133	1	169	1	
124	0	66	0	
25	0	76	0	
166	1	28	1	
98	0	149	0	
178	0	151	0	
147	0	182	0	
52	1	126	1	
108	0	43	0	
31	1	110	1	
36	0	130	0	
54	0	104	0	
165	1	142	1	
93	1	139	1	
1	1	112	1	
34	0	15	0	
103	1	192	1	
17	1	123	1	
193	1	193	1	
194	1	4	1	
97	1	18	1	
67	0	146	0	
118	0	82	0	
145	0	176	0	
194	1	185	1	
141	0	46	0	
114	0	164	0	
84	1	72	1	
118	0	55	0	
26	0	177	0	
111	1	190	1	
145	0	107	0	
20	0	180	0	
2	1	30	1	
12	1	51	1	
20	0	160	0	
8	1	124	1	
96	1	48	1	
182	1	20	1	
118	0	59	0	
182	1	6	1	
182	1	91	1	
83	0	47	0	
125	1	111	1	
4	1	137	1	
145	0	25	0	
119	0	120	0	
161	0	154	0	
83	0	101	0	
161	0	165	0	
168	0	80	0	
104	1	0	1	
105	1	11	1	
182	1	168	1	
145	0	9	0	
105	1	135	1	
16	0	3	0	
45	0	159	0	
162	0	23	0	
67	0	12	0	
145	0	60	0	
67	0	65	0	
81	1	61	1	
4	1	68	1	
182	1	97	1	
131	0	58	0	
125	1	178	1	
104	1	21	1	
104	1	128	1	
114	0	49	0	
105	1	90	1	
4	1	84	1	
84	1	132	1	
175	1	53	1	
56	1	147	1	
59	0	138	0	
118	0	143	0	
